program,threads,image,image_size,time_sec,time_tolerance_sec,io
mandelbrot_seq,1,elephant.log,16,0.001351,0.0004,1
mandelbrot_seq,1,elephant.log,32,0.001827,3.15e-05,1
mandelbrot_seq,1,elephant.log,64,0.0049725,4.43e-05,1
mandelbrot_seq,1,elephant.log,128,0.018374,0.000107,1
mandelbrot_seq,1,elephant.log,256,0.070903,0.000221,1
mandelbrot_seq,1,elephant.log,512,0.280108,0.000379,1
mandelbrot_seq,1,elephant.log,1024,1.12347,0.00203,1
mandelbrot_seq,1,elephant.log,2048,4.4925,0.0107,1
mandelbrot_seq,1,elephant.log,4096,17914,0.0416,1
mandelbrot_seq,1,elephant.log,8192,71.5761,0.0487,1
mandelbrot_seq,1,full.log,16,0.0006183,2.71e-05,1
mandelbrot_seq,1,full.log,32,0.0007222,1.44e-05,1
mandelbrot_seq,1,full.log,64,0.001979,0.000512,1
mandelbrot_seq,1,full.log,128,0.0038943,2.56e-05,1
mandelbrot_seq,1,full.log,256,0.014444,0.000226,1
mandelbrot_seq,1,full.log,512,0.05475,0.000444,1
mandelbrot_seq,1,full.log,1024,0.214637,0.000535,1
mandelbrot_seq,1,full.log,2048,0.87207,0.00221,1
mandelbrot_seq,1,full.log,4096,3.52723,0.0074,1
mandelbrot_seq,1,full.log,8192,14.05029,0.0075,1
mandelbrot_seq,1,seahorse.log,16,0.0007632,2.02e-05,1
mandelbrot_seq,1,seahorse.log,32,0.001639,1.2e-05,1
mandelbrot_seq,1,seahorse.log,64,0.0053152,7.67e-05,1
mandelbrot_seq,1,seahorse.log,128,0.0191223,5.73e-05,1
mandelbrot_seq,1,seahorse.log,256,0.074642,0.000201,1
mandelbrot_seq,1,seahorse.log,512,0.296342,0.000605,1
mandelbrot_seq,1,seahorse.log,1024,1.18054,0.00174,1
mandelbrot_seq,1,seahorse.log,2048,4.73945,0.00928,1
mandelbrot_seq,1,seahorse.log,4096,18.9921,0.0374,1
mandelbrot_seq,1,seahorse.log,8192,75.5102,0.0287,1
mandelbrot_seq,1,triple_spiral.log,16,0.001002,0.00014,1
mandelbrot_seq,1,triple_spiral.log,32,0.0018653,3.17e-05,1
mandelbrot_seq,1,triple_spiral.log,64,0.0057716,1.86e-05,1
mandelbrot_seq,1,triple_spiral.log,128,0.021796,0.000145,1
mandelbrot_seq,1,triple_spiral.log,256,0.084993,0.000478,1
mandelbrot_seq,1,triple_spiral.log,512,0.334626,0.000235,1
mandelbrot_seq,1,triple_spiral.log,1024,1.33904,0.00127,1
mandelbrot_seq,1,triple_spiral.log,2048,5.3994,0.0478,1
mandelbrot_seq,1,triple_spiral.log,4096,21.36015,0.00375,1
mandelbrot_seq,1,triple_spiral.log,8192,85.4736,0.0587,1
mandelbrot_pth,1,elephant.log,16,0.0009109,3.02e-05,0
mandelbrot_pth,1,elephant.log,32,0.0018102,5.62e-05,0
mandelbrot_pth,1,elephant.log,64,0.0050363,2.54e-05,0
mandelbrot_pth,1,elephant.log,128,0.0180014,3.34e-05,0
mandelbrot_pth,1,elephant.log,256,0.0697516,6.47e-05,0
mandelbrot_pth,1,elephant.log,512,0.274747,0.000119,0
mandelbrot_pth,1,elephant.log,1024,1.096382,0.00073,0
mandelbrot_pth,1,elephant.log,2048,4.38714,0.00335,0
mandelbrot_pth,1,elephant.log,4096,17.49414,0.00633,0
mandelbrot_pth,1,elephant.log,8192,69.9347,0.0207,0
mandelbrot_pth,1,full.log,16,0.0006775,2.06e-05,0
mandelbrot_pth,1,full.log,32,0.0008438,2.04e-05,0
mandelbrot_pth,1,full.log,64,0.0014338,2.88e-05,0
mandelbrot_pth,1,full.log,128,0.0037873,1.79e-05,0
mandelbrot_pth,1,full.log,256,0.0130249,2.92e-05,0
mandelbrot_pth,1,full.log,512,0.0494952,5.44e-05,0
mandelbrot_pth,1,full.log,1024,0.194821,0.000262,0
mandelbrot_pth,1,full.log,2048,0.774027,0.000587,0
mandelbrot_pth,1,full.log,4096,3.08245,0.00248,0
mandelbrot_pth,1,full.log,8192,12.31058,0.00829,0
mandelbrot_pth,1,seahorse.log,16,0.001037,8.32e-05,0
mandelbrot_pth,1,seahorse.log,32,0.001819,2.38e-05,0
mandelbrot_pth,1,seahorse.log,64,0.0053147,3.3e-05,0
mandelbrot_pth,1,seahorse.log,128,0.0189222,4.59e-05,0
mandelbrot_pth,1,seahorse.log,256,0.07342,0.000171,0
mandelbrot_pth,1,seahorse.log,512,0.2902278,7.76e-05,0
mandelbrot_pth,1,seahorse.log,1024,1.158018,0.000934,0
mandelbrot_pth,1,seahorse.log,2048,4.6442,12,0
mandelbrot_pth,1,seahorse.log,4096,18.49724,0.00702,0
mandelbrot_pth,1,seahorse.log,8192,73.8424,0.0335,0
mandelbrot_pth,1,triple_spiral.log,16,0.0009985,3.43e-05,0
mandelbrot_pth,1,triple_spiral.log,32,0.001957,1.48e-05,0
mandelbrot_pth,1,triple_spiral.log,64,0.0058754,2.17e-05,0
mandelbrot_pth,1,triple_spiral.log,128,0.021374,3.32e-05,0
mandelbrot_pth,1,triple_spiral.log,256,0.083094,0.000111,0
mandelbrot_pth,1,triple_spiral.log,512,0.330465,0.000639,0
mandelbrot_pth,1,triple_spiral.log,1024,1.3157,0.00123,0
mandelbrot_pth,1,triple_spiral.log,2048,5.24888,0.00292,0
mandelbrot_pth,1,triple_spiral.log,4096,21.0157,0.0142,0
mandelbrot_pth,1,triple_spiral.log,8192,83889,0.0252,0
mandelbrot_pth,2,elephant.log,16,0.0007868,2.1e-05,0
mandelbrot_pth,2,elephant.log,32,0.0013229,6.46e-05,0
mandelbrot_pth,2,elephant.log,64,0.0032323,8.34e-05,0
mandelbrot_pth,2,elephant.log,128,0.010802,0.000314,0
mandelbrot_pth,2,elephant.log,256,0.04145,0.00111,0
mandelbrot_pth,2,elephant.log,512,0.15235,0.00147,0
mandelbrot_pth,2,elephant.log,1024,0.5735,0.00165,0
mandelbrot_pth,2,elephant.log,2048,2.30352,0.00929,0
mandelbrot_pth,2,elephant.log,4096,9.2816,0.0227,0
mandelbrot_pth,2,elephant.log,8192,37.0606,73,0
mandelbrot_pth,2,full.log,16,0.000701,1.99e-05,0
mandelbrot_pth,2,full.log,32,0.0008079,4.42e-05,0
mandelbrot_pth,2,full.log,64,0.0011217,2.53e-05,0
mandelbrot_pth,2,full.log,128,0.0028153,8.27e-05,0
mandelbrot_pth,2,full.log,256,0.008567,0.000197,0
mandelbrot_pth,2,full.log,512,0.034163,0.000547,0
mandelbrot_pth,2,full.log,1024,0.12267,0.00129,0
mandelbrot_pth,2,full.log,2048,0.46575,0.00194,0
mandelbrot_pth,2,full.log,4096,1.82305,0.00335,0
mandelbrot_pth,2,full.log,8192,7407,0.0421,0
mandelbrot_pth,2,seahorse.log,16,0.000791,1.88e-05,0
mandelbrot_pth,2,seahorse.log,32,0.0012846,2.23e-05,0
mandelbrot_pth,2,seahorse.log,64,0.0034996,9.49e-05,0
mandelbrot_pth,2,seahorse.log,128,0.012171,0.00027,0
mandelbrot_pth,2,seahorse.log,256,0.04655,0.00104,0
mandelbrot_pth,2,seahorse.log,512,0.17661,0.00219,0
mandelbrot_pth,2,seahorse.log,1024,0.67681,0.00179,0
mandelbrot_pth,2,seahorse.log,2048,2.68188,0.00148,0
mandelbrot_pth,2,seahorse.log,4096,10.7546,0.0138,0
mandelbrot_pth,2,seahorse.log,8192,43.1833,49,0
mandelbrot_pth,2,triple_spiral.log,16,0.0007894,1.29e-05,0
mandelbrot_pth,2,triple_spiral.log,32,0.0013684,5.92e-05,0
mandelbrot_pth,2,triple_spiral.log,64,0.003711,0.000103,0
mandelbrot_pth,2,triple_spiral.log,128,0.013137,0.000326,0
mandelbrot_pth,2,triple_spiral.log,256,0.05292,0.000818,0
mandelbrot_pth,2,triple_spiral.log,512,0.18867,0.00169,0
mandelbrot_pth,2,triple_spiral.log,1024,0.72466,0.00167,0
mandelbrot_pth,2,triple_spiral.log,2048,2.8811,0.00476,0
