program,threads,image,image_size,time_sec,time_tolerance_sec,io
mandelbrot_seq,1,elephant.log,16,0.0006919,1.35e-05,0
mandelbrot_seq,1,elephant.log,32,0.001506,1.06e-05,0
mandelbrot_seq,1,elephant.log,64,0.0047973,2.95e-05,0
mandelbrot_seq,1,elephant.log,128,0.0178334,9.61e-05,0
mandelbrot_seq,1,elephant.log,256,0.0692013,8.64e-05,0
mandelbrot_seq,1,elephant.log,512,282,0.00284,0
mandelbrot_seq,1,elephant.log,1024,1.12492,0.00568,0
mandelbrot_seq,1,elephant.log,2048,4.4169,0.0107,0
mandelbrot_seq,1,elephant.log,4096,17.48957,0.00351,0
mandelbrot_seq,1,elephant.log,8192,69.9622,0.0247,0
mandelbrot_seq,1,full.log,16,0.0004552,1.79e-05,0
mandelbrot_seq,1,full.log,32,0.0006387,2.43e-05,0
mandelbrot_seq,1,full.log,64,0.0012098,1.78e-05,0
mandelbrot_seq,1,full.log,128,0.0036236,7.12e-05,0
mandelbrot_seq,1,full.log,256,0.012921,0.000171,0
mandelbrot_seq,1,full.log,512,0.049161,0.000132,0
mandelbrot_seq,1,full.log,1024,0.21814,0.00491,0
mandelbrot_seq,1,full.log,2048,0.77878,0.00138,0
mandelbrot_seq,1,full.log,4096,3.09817,0.00557,0
mandelbrot_seq,1,full.log,8192,12.32153,0.00436,0
mandelbrot_seq,1,seahorse.log,16,0.0007182,1.84e-05,0
mandelbrot_seq,1,seahorse.log,32,0.0016162,3.89e-05,0
mandelbrot_seq,1,seahorse.log,64,0.0049775,1.14e-05,0
mandelbrot_seq,1,seahorse.log,128,0.018808,0.000108,0
mandelbrot_seq,1,seahorse.log,256,0.073049,0.000228,0
mandelbrot_seq,1,seahorse.log,512,0.29018,0.000253,0
mandelbrot_seq,1,seahorse.log,1024,1.2383,0.0133,0
mandelbrot_seq,1,seahorse.log,2048,4.67023,0.00661,0
mandelbrot_seq,1,seahorse.log,4096,18.48868,0.00305,0
mandelbrot_seq,1,seahorse.log,8192,73.9166,0.0136,0
mandelbrot_seq,1,triple_spiral.log,16,0.0007326,2.08e-05,0
mandelbrot_seq,1,triple_spiral.log,32,0.0017866,5.23e-05,0
mandelbrot_seq,1,triple_spiral.log,64,0.0057199,6.6e-05,0
mandelbrot_seq,1,triple_spiral.log,128,0.021209,0.000102,0
mandelbrot_seq,1,triple_spiral.log,256,0.0826051,3.79e-05,0
mandelbrot_seq,1,triple_spiral.log,512,0.38362,0.00288,0
mandelbrot_seq,1,triple_spiral.log,1024,1.32584,0.00177,0
mandelbrot_seq,1,triple_spiral.log,2048,5308,0.0293,0
mandelbrot_seq,1,triple_spiral.log,4096,20979,0.00925,0
mandelbrot_seq,1,triple_spiral.log,8192,84.0234,0.0279,0
mandelbrot_pth,1,elephant.log,16,0.0013944,5.58e-05,1
mandelbrot_pth,1,elephant.log,32,0.001984,4.93e-05,1
mandelbrot_pth,1,elephant.log,64,0.0053496,4.73e-05,1
mandelbrot_pth,1,elephant.log,128,0.0187412,9.42e-05,1
mandelbrot_pth,1,elephant.log,256,0.07312,0.000636,1
mandelbrot_pth,1,elephant.log,512,0.282667,0.000264,1
mandelbrot_pth,1,elephant.log,1024,1.125609,0.000509,1
mandelbrot_pth,1,elephant.log,2048,4.51515,0.00255,1
mandelbrot_pth,1,elephant.log,4096,18.0692,11,1
mandelbrot_pth,1,elephant.log,8192,72.3096,0.0438,1
mandelbrot_pth,1,full.log,16,0.0011325,5.61e-05,1
mandelbrot_pth,1,full.log,32,0.0009302,2.63e-05,1
mandelbrot_pth,1,full.log,64,0.001984,0.000169,1
mandelbrot_pth,1,full.log,128,0.0042961,3.02e-05,1
mandelbrot_pth,1,full.log,256,0.015049,0.000118,1
mandelbrot_pth,1,full.log,512,0.06058,0.00273,1
mandelbrot_pth,1,full.log,1024,0.224298,0.000244,1
mandelbrot_pth,1,full.log,2048,0.93181,0.00699,1
mandelbrot_pth,1,full.log,4096,3.7231,0.0334,1
mandelbrot_pth,1,full.log,8192,14.5844,0.0552,1
mandelbrot_pth,1,seahorse.log,16,0.0010828,5.01e-05,1
mandelbrot_pth,1,seahorse.log,32,0.0019496,3.12e-05,1
mandelbrot_pth,1,seahorse.log,64,0.0056304,7.47e-05,1
mandelbrot_pth,1,seahorse.log,128,0.019888,0.00019,1
mandelbrot_pth,1,seahorse.log,256,0.076097,0.000197,1
mandelbrot_pth,1,seahorse.log,512,0.299673,0.000391,1
mandelbrot_pth,1,seahorse.log,1024,1.187941,0.000401,1
mandelbrot_pth,1,seahorse.log,2048,4.76499,0.0048,1
mandelbrot_pth,1,seahorse.log,4096,19.06989,0.00911,1
mandelbrot_pth,1,seahorse.log,8192,76.3209,0.0496,1
mandelbrot_pth,1,triple_spiral.log,16,0.001641,0.000342,1
mandelbrot_pth,1,triple_spiral.log,32,0.0023791,3.12e-05,1
mandelbrot_pth,1,triple_spiral.log,64,0.006109,3.52e-05,1
mandelbrot_pth,1,triple_spiral.log,128,0.0220685,3.81e-05,1
mandelbrot_pth,1,triple_spiral.log,256,0.086271,0.000492,1
mandelbrot_pth,1,triple_spiral.log,512,0.337889,0.000394,1
mandelbrot_pth,1,triple_spiral.log,1024,1.343594,0.000991,1
mandelbrot_pth,1,triple_spiral.log,2048,5.38628,0.00375,1
mandelbrot_pth,1,triple_spiral.log,4096,21.55288,0.00659,1
mandelbrot_pth,1,triple_spiral.log,8192,86.1729,0.0465,1
mandelbrot_pth,2,elephant.log,16,0.001479,0.000575,1
mandelbrot_pth,2,elephant.log,32,0.00284,0.000227,1
mandelbrot_pth,2,elephant.log,64,0.0033048,9.85e-05,1
mandelbrot_pth,2,elephant.log,128,0.011322,0.000264,1
mandelbrot_pth,2,elephant.log,256,0.043652,0.000988,1
mandelbrot_pth,2,elephant.log,512,0.16884,0.0031,1
mandelbrot_pth,2,elephant.log,1024,0.60678,0.00281,1
mandelbrot_pth,2,elephant.log,2048,2.40035,0.00388,1
mandelbrot_pth,2,elephant.log,4096,9.63271,0.00974,1
mandelbrot_pth,2,elephant.log,8192,39.2655,0.0648,1
mandelbrot_pth,2,full.log,16,0.00094,0.000108,1
mandelbrot_pth,2,full.log,32,0.001505,0.000128,1
mandelbrot_pth,2,full.log,64,0.0013577,2.29e-05,1
mandelbrot_pth,2,full.log,128,0.003426,0.000147,1
mandelbrot_pth,2,full.log,256,0.011244,0.000392,1
mandelbrot_pth,2,full.log,512,0.040426,0.000937,1
mandelbrot_pth,2,full.log,1024,0.16257,0.00228,1
mandelbrot_pth,2,full.log,2048,0.59632,0.00245,1
mandelbrot_pth,2,full.log,4096,2.4039,0.0108,1
mandelbrot_pth,2,full.log,8192,9.43508,0.0071,1
mandelbrot_pth,2,seahorse.log,16,0.002337,0.000828,1
mandelbrot_pth,2,seahorse.log,32,0.001776,0.000314,1
mandelbrot_pth,2,seahorse.log,64,0.004202,0.000259,1
mandelbrot_pth,2,seahorse.log,128,0.012276,0.000299,1
mandelbrot_pth,2,seahorse.log,256,0.049674,0.000903,1
mandelbrot_pth,2,seahorse.log,512,0.18787,0.00373,1
mandelbrot_pth,2,seahorse.log,1024,0.70781,0.00169,1
mandelbrot_pth,2,seahorse.log,2048,2.8147,0.00585,1
mandelbrot_pth,2,seahorse.log,4096,11.24196,0.00473,1
mandelbrot_pth,2,seahorse.log,8192,45.2669,0.0757,1
mandelbrot_pth,2,triple_spiral.log,16,0.001187,0.000113,1
mandelbrot_pth,2,triple_spiral.log,32,0.00435,0.00142,1
mandelbrot_pth,2,triple_spiral.log,64,0.0039568,7.95e-05,1
mandelbrot_pth,2,triple_spiral.log,128,0.014026,0.000317,1
mandelbrot_pth,2,triple_spiral.log,256,0.054478,0.000998,1
mandelbrot_pth,2,triple_spiral.log,512,0.19533,0.00324,1
mandelbrot_pth,2,triple_spiral.log,1024,0.75593,0.00251,1
mandelbrot_pth,2,triple_spiral.log,2048,3.0388,0.0359,1
mandelbrot_pth,2,triple_spiral.log,4096,11.9845,0.0189,1
mandelbrot_pth,2,triple_spiral.log,8192,48.7923,0.0406,1
mandelbrot_pth,4,elephant.log,16,0.000981,4.37e-05,1
mandelbrot_pth,4,elephant.log,32,0.002197,0.000253,1
mandelbrot_pth,4,elephant.log,64,0.004108,0.000625,1
mandelbrot_pth,4,elephant.log,128,0.008883,0.00054,1
mandelbrot_pth,4,elephant.log,256,0.03011,0.00125,1
mandelbrot_pth,4,elephant.log,512,0.11135,0.00141,1
mandelbrot_pth,4,elephant.log,1024,0.45979,0.00313,1
mandelbrot_pth,4,elephant.log,2048,1.80776,0.00544,1
mandelbrot_pth,4,elephant.log,4096,7.1965,0.0156,1
mandelbrot_pth,4,elephant.log,8192,28.7733,0.0948,1
mandelbrot_pth,4,full.log,16,0.001385,0.000403,1
mandelbrot_pth,4,full.log,32,0.002594,0.000546,1
mandelbrot_pth,4,full.log,64,0.001993,0.00035,1
mandelbrot_pth,4,full.log,128,0.003586,0.000213,1
mandelbrot_pth,4,full.log,256,0.010208,0.0003,1
mandelbrot_pth,4,full.log,512,0.037166,0.000742,1
mandelbrot_pth,4,full.log,1024,0.15143,0.00315,1
mandelbrot_pth,4,full.log,2048,0.5983,0.00331,1
mandelbrot_pth,4,full.log,4096,2.3772,0.0214,1
mandelbrot_pth,4,full.log,8192,9.3029,0.0552,1
mandelbrot_pth,4,seahorse.log,16,0.002003,0.000531,1
mandelbrot_pth,4,seahorse.log,32,0.001901,0.000331,1
mandelbrot_pth,4,seahorse.log,64,0.003703,0.000238,1
mandelbrot_pth,4,seahorse.log,128,0.009754,0.000578,1
mandelbrot_pth,4,seahorse.log,256,0.031351,0.000862,1
mandelbrot_pth,4,seahorse.log,512,0.11972,0.00276,1
mandelbrot_pth,4,seahorse.log,1024,0.48106,0.00506,1
mandelbrot_pth,4,seahorse.log,2048,1.9455,0.0152,1
mandelbrot_pth,4,seahorse.log,4096,7672,0.0306,1
mandelbrot_pth,4,seahorse.log,8192,30774,101,1
