,program,repetitions,threads,image,image_size,time_sec,time_tolerance_sec
0,./mandelbrot_seq.o,15,1,-0.188 -0.012 0.554 0.754,4096,21.4668,0.0184
1,./mandelbrot_pth.o,15,1,-0.188 -0.012 0.554 0.754,4096,21.4936,0.0131
2,./mandelbrot_omp.o,15,1,-0.188 -0.012 0.554 0.754,4096,7.8796,0.0522
3,./mandelbrot_mpi.o,15,1,-0.188 -0.012 0.554 0.754,4096,21.6289,0.0137
4,./mandelbrot_pth.o,15,4,-0.188 -0.012 0.554 0.754,4096,7.9629,0.0357
5,./mandelbrot_omp.o,15,4,-0.188 -0.012 0.554 0.754,4096,7.9919,0.0354
6,./mandelbrot_mpi.o,15,4,-0.188 -0.012 0.554 0.754,4096,10.0348,0.0369
7,./mandelbrot_mpi_pth.o,15,4,-0.188 -0.012 0.554 0.754,4096,15.8463,0.0552
8,./mandelbrot_mpi_omp.o,15,4,-0.188 -0.012 0.554 0.754,4096,15.6507,0.0607
9,./mandelbrot_pth.o,15,8,-0.188 -0.012 0.554 0.754,4096,7.7258,0.0222
10,./mandelbrot_omp.o,15,8,-0.188 -0.012 0.554 0.754,4096,7.9792,0.0354
11,./mandelbrot_mpi.o,15,8,-0.188 -0.012 0.554 0.754,4096,15.3472,0.088
12,./mandelbrot_mpi_pth.o,15,8,-0.188 -0.012 0.554 0.754,4096,30.4421,0.0821
13,./mandelbrot_mpi_omp.o,15,8,-0.188 -0.012 0.554 0.754,4096,30.7466,0.054
14,./mandelbrot_pth.o,15,16,-0.188 -0.012 0.554 0.754,4096,7.7391,0.0548
15,./mandelbrot_omp.o,15,16,-0.188 -0.012 0.554 0.754,4096,8.0018,0.0498
16,./mandelbrot_mpi.o,15,16,-0.188 -0.012 0.554 0.754,4096,466.67,35.46
17,./mandelbrot_mpi_pth.o,15,16,-0.188 -0.012 0.554 0.754,4096,62.94,0.267
18,./mandelbrot_mpi_omp.o,15,16,-0.188 -0.012 0.554 0.754,4096,63.439,0.223
19,./mandelbrot_pth.o,15,32,-0.188 -0.012 0.554 0.754,4096,7.6996,0.0244
20,./mandelbrot_omp.o,15,32,-0.188 -0.012 0.554 0.754,4096,7.9736,0.0328
21,./mandelbrot_mpi_pth.o,15,32,-0.188 -0.012 0.554 0.754,4096,63.225,0.384
22,./mandelbrot_mpi_omp.o,15,32,-0.188 -0.012 0.554 0.754,4096,63.767,0.252
23,./mandelbrot_pth.o,15,64,-0.188 -0.012 0.554 0.754,4096,7.6967,0.0264
24,./mandelbrot_omp.o,15,64,-0.188 -0.012 0.554 0.754,4096,8.157,0.106
25,./mandelbrot_mpi_pth.o,15,64,-0.188 -0.012 0.554 0.754,4096,62.679,0.29
26,./mandelbrot_mpi_omp.o,15,64,-0.188 -0.012 0.554 0.754,4096,63.081,0.281
